District,Year,flowering_tmax_mean,flowering_tmin_mean,flowering_tmax_max,flowering_tmax_std,flowering_day_night_diff,flowering_rainfall_total,flowering_rainy_days,flowering_extreme_heat_days,flowering_heat_stress_days,grain_filling_tmax_mean,grain_filling_tmin_mean,grain_filling_tmax_max,grain_filling_tmax_std,grain_filling_day_night_diff,grain_filling_rainfall_total,grain_filling_rainy_days,grain_filling_extreme_heat_days,grain_filling_heat_stress_days,maturation_tmax_mean,maturation_tmin_mean,maturation_tmax_max,maturation_tmax_std,maturation_day_night_diff,maturation_rainfall_total,maturation_rainy_days,maturation_extreme_heat_days,seasonal_tmax_mean,seasonal_tmin_mean,seasonal_rainfall_total
Bathinda,2019,22.543928571428577,7.543214285714286,25.64,1.8912632252813433,15.000714285714286,26.799999999999997,13,0,0,24.424642857142853,9.305000000000001,27.7,1.714687061704473,15.119642857142855,23.14,13,0,0,35.49576923076923,17.545,41.38,4.570221152703158,17.95076923076923,0.18000000000000002,5,14,26.402541436464087,11.709337016574587,115.55
Bathinda,2020,24.770000000000003,9.01206896551724,30.59,3.613129826460314,15.757931034482759,7.1899999999999995,4,0,1,26.414482758620693,11.27655172413793,30.59,2.599988442566203,15.137931034482758,63.239999999999995,16,0,1,30.29846153846154,15.336923076923076,35.85,2.4398404739780712,14.961538461538462,29.31,11,1,25.72571428571429,11.236978021978022,194.3
Bathinda,2021,27.814285714285713,11.055000000000001,34.64,3.4318998394382825,16.759285714285713,2.0900000000000003,4,0,6,31.945714285714292,14.721785714285716,35.61,2.44259641543118,17.22392857142857,1.49,6,2,20,35.645384615384614,17.422307692307694,40.5,1.912063243241145,18.223076923076924,7.9399999999999995,5,18,28.325966850828728,12.416132596685081,39.75
Bathinda,2022,24.30785714285714,8.555357142857144,29.08,2.530371597864714,15.7525,12.219999999999999,6,0,0,28.52821428571428,12.237142857142858,37.91,3.69103022210996,16.29107142857143,5.779999999999999,4,3,9,40.6023076923077,20.67230769230769,44.19,1.9778823174138702,19.930000000000003,0.0,0,26,29.073480662983428,13.481160220994475,91.42
Hanumangarh,2010,26.74142857142857,10.202499999999999,32.95,3.2621711859681506,16.53892857142857,6.45,8,0,6,31.178214285714287,14.055357142857146,36.82,3.224740074017369,17.122857142857143,4.1,6,3,20,39.541538461538465,21.33346153846154,42.22,1.2409953821274027,18.208076923076923,0.28,2,26,30.05204419889503,14.146906077348067,25.700000000000003
Hanumangarh,2011,25.37357142857143,9.825357142857143,29.4,1.8504658358164328,15.548214285714286,21.589999999999996,13,0,0,27.30785714285714,11.415000000000001,36.95,3.975179806921255,15.89285714285714,13.29,13,2,6,35.70461538461538,17.76153846153846,39.32,1.8055785350279971,17.943076923076923,11.879999999999999,8,18,28.52254143646409,12.904254143646412,53.620000000000005
Hanumangarh,2012,24.25758620689655,7.312068965517242,29.14,2.8413988697375476,16.94551724137931,0.71,6,0,0,27.999310344827585,10.029310344827588,33.17,2.568233037705222,17.970000000000002,0.41000000000000003,5,0,6,36.52230769230769,18.685769230769232,40.41,3.100493261005168,17.836538461538463,1.07,2,18,27.6571978021978,11.90868131868132,31.419999999999995
Hanumangarh,2013,23.83392857142857,9.960714285714285,26.66,2.1746678576291347,13.873214285714287,44.86,14,0,0,27.868214285714284,12.16214285714286,33.51,4.058361331020403,15.706071428571429,26.369999999999997,10,0,12,34.144999999999996,18.111153846153847,38.44,2.613260415649386,16.033846153846152,8.32,9,9,27.923425414364637,12.711546961325967,84.72
Hanumangarh,2014,24.228214285714284,8.283214285714285,27.27,2.1519002000323972,15.945000000000002,5.380000000000001,13,0,0,27.03321428571429,10.841071428571428,32.57,2.425703492569204,16.19214285714286,6.549999999999999,10,0,3,33.705,17.636153846153846,38.14,2.261141746994204,16.068846153846156,10.82,13,7,27.698287292817675,12.457127071823205,43.38
Hanumangarh,2015,26.536428571428576,10.665714285714287,31.65,3.048629581966679,15.870714285714284,8.5,10,0,5,26.731071428571425,11.645357142857145,31.65,2.9787970966242634,15.085714285714285,51.95,18,0,4,32.69692307692308,17.24230769230769,37.92,3.172293516345257,15.454615384615384,33.489999999999995,10,7,27.795138121546962,12.733646408839778,113.82
Hanumangarh,2016,26.88413793103448,10.190689655172413,33.04,3.0946630525579026,16.69344827586207,7.119999999999999,6,0,8,30.09931034482759,13.852758620689658,34.59,2.3831131065935027,16.246551724137934,25.65,10,0,16,35.128076923076925,18.82153846153846,39.78,2.7065712911072843,16.30653846153846,1.69,7,13,29.779615384615383,14.007417582417585,30.83
Hanumangarh,2017,27.022142857142857,11.386071428571427,31.99,3.0504272404380255,15.636071428571428,0.9299999999999999,3,0,5,28.84071428571428,12.914642857142857,31.99,1.701382724316658,15.92607142857143,3.6399999999999997,8,0,6,36.67307692307692,19.794615384615383,41.21,3.5312080303836755,16.878461538461536,6.15,3,17,28.868950276243098,13.506243093922652,54.10000000000001
Hanumangarh,2018,27.844642857142862,11.616785714285715,32.78,2.930058123735024,16.227857142857143,2.6,6,0,7,31.71214285714286,15.393214285714283,36.36,2.3157469911421944,16.31892857142857,0.6799999999999999,6,2,20,36.33653846153846,19.488846153846154,40.27,3.192861966709732,16.847692307692306,8.21,6,19,29.606740331491714,13.496022099447517,16.819999999999997
Hanumangarh,2019,23.34714285714286,8.289642857142857,27.16,2.1299606276014296,15.057499999999996,10.69,12,0,0,25.326428571428572,10.151785714285714,28.91,1.748040626457529,15.174642857142857,14.34,14,0,0,35.825384615384614,18.39538461538461,41.9,4.54823678431036,17.43,0.48,3,15,26.8475138121547,12.34303867403315,85.67999999999999
Hanumangarh,2020,25.67551724137931,9.397586206896552,33.15,3.918765828135632,16.277931034482755,3.09,3,0,5,27.310689655172418,11.870000000000001,33.15,2.970533779636345,15.440689655172413,49.34,14,0,5,31.086153846153845,15.945384615384615,36.41,2.873059800175523,15.14076923076923,32.01,14,1,26.278956043956047,11.7821978021978,247.72999999999996
